sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,m_type2_onset_time,dh_type2_onset_time,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end
gsep_064,psep_072,,1990-04-11 07:05:00,,,,,,,,,,,,1990-04-10 11:44:00,1990-04-10 11:50:00,6,4,24,M1.1,6007,FALSE,,13,13.54,,,,232000,,,,13.5,1990-04-11 21:20:00,,,1,P,Taken by 4,,,AR from LMSAL,1990-04-10 19:05:00,1990-04-12 00:05:00
gsep_065,psep_073,,1990-04-15 11:20:00,,,,,,,,,,,,1990-04-15 02:30:00,1990-04-15 02:57:00,17,-54,32,X1.0,6022,FALSE,,12,10.53,,,,1880000,,,,12.1,1990-04-17 07:00:00,,,1,P,Taken by 4,,,AR & Flare location from Kurt et al. (2004),1990-04-14 23:20:00,1990-04-18 14:00:00
gsep_066,psep_074,,1990-04-28 02:30:00,,,,,,,,,,,,1990-04-28 00:23:00,1990-04-28 00:24:00,1,,,,,,,150,110.84,9.79,0.99,,4570000,291000.0,54900.0,,149.0,1990-04-28 17:35:00,,,1,P,Probably a limb event ,,,Flare data from Kurt et al. (2004); Over the limb event,1990-04-27 14:30:00,1990-04-29 11:30:00
gsep_067,psep_075,,1990-05-10 21:10:00,,,,,,,,,,,,1990-05-10 19:18:00,1990-05-10 19:30:00,12,-95,29,X3.4,,,,,2.0,,,,209000,,,,1.68,1990-05-11 04:35:00,,,0,P,Taken by 4,,,,1990-05-10 09:10:00,1990-05-11 21:10:00
gsep_068,psep_076,,1990-05-17 18:10:00,,,,,,,,,,,,1990-05-15 12:46:00,1990-05-15 13:10:00,24,-38,42,X1.7,6063,FALSE,,,5.82,,,,754000,,,,6.03,1990-05-19 03:05:00,,,0,P,Taken by 4,,,AR from LMSAL,1990-05-17 06:10:00,1990-05-20 12:10:00
gsep_069,psep_077,,1990-05-21 22:25:00,,,,,,,,,,,,1990-05-21 22:12:00,1990-05-21 22:17:00,5,37,34,X5.0,6063,FALSE,,410,333.53,71.91,25.35,10.65,8670000,2280000.0,816000.0,352000.0,409.0,1990-05-22 07:50:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1990-05-21 10:25:00,1990-05-23 07:25:00
gsep_070,psep_078,,1990-05-24 20:35:00,,,,,,,,,,,,1990-05-24 20:46:00,1990-05-24 20:49:00,3,76,36,X9.3,6063,FALSE,,180,147.53,35.62,20.29,11.34,8380000,2350000.0,984000.0,473000.0,177.0,1990-05-25 01:15:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1990-05-24 08:35:00,1990-05-26 20:55:00
gsep_071,psep_079,,1990-05-26 21:10:00,,,,,,,,,,,,1990-05-26 20:45:00,1990-05-26 20:58:00,13,104,33,X1.4,,,,,84.68,33.56,15.96,7.93,3090000,1140000.0,510000.0,249000.0,88.9,1990-05-27 01:20:00,,,0,P,Taken by 4,,,,1990-05-26 09:10:00,1990-05-27 13:10:00
gsep_072,psep_080,,1990-05-28 05:20:00,,,,,,,,,,,,1990-05-28 05:15:00,1990-05-28 05:21:00,6,121,33,,,,,45,39.01,12.26,5.21,2.66,4960000,1500000.0,632000.0,304000.0,45.3,1990-05-29 01:00:00,,,1,P,Taken by 6,,,,1990-05-27 17:20:00,1990-05-30 17:20:00
gsep_073,psep_081,,1990-06-12 05:50:00,,,,,,,,,,,,1990-06-12 04:29:00,1990-06-12 04:34:00,5,33,10,M6.0,6089,FALSE,,79,69.56,2.31,0.48,,2790000,164000.0,62800.0,,79.3,1990-06-12 17:00:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1990-06-11 17:50:00,1990-06-13 15:30:00
gsep_074,psep_082,,1990-07-13 14:15:00,,,,,,,,,,,,1990-07-12 13:41:00,1990-07-12 13:48:00,7,11,-10,M1.2,6151,FALSE,,,3.69,,,,215000,,,,3.2,1990-07-13 23:35:00,,,0,P,Taken by 4,Brief data gap,,AR from LMSAL,1990-07-13 02:15:00,1990-07-14 15:15:00
gsep_075,psep_083,,1990-07-25 23:55:00,,,,,,,,,,,,1990-07-25 22:21:00,1990-07-25 22:32:00,11,-56,-14,M2.3,6174,FALSE,,21,17.76,2.24,0.78,0.35,2500000,324000.0,130000.0,68300.0,20.9,1990-07-26 23:15:00,,,1,P,Taken by 6,,,AR & Flare location from Kurt et al. (2004),1990-07-25 11:55:00,1990-07-28 18:55:00
gsep_076,psep_084,,1990-07-30 15:00:00,,,,,,,,,,,,1990-07-30 06:33:00,1990-07-30 07:32:00,59,-45,20,M4.4,6180,FALSE,,230,183.38,6.0,0.64,,11000000,592000.0,163000.0,,227.0,1990-08-01 20:45:00,,,1,P,Taken by 5,,,AR from LMSAL,1990-07-30 03:00:00,1990-08-03 20:00:00
gsep_077,psep_085,,1990-08-12 23:25:00,,,,,,,,,,,,1990-08-10 18:09:00,1990-08-10 18:14:00,5,-72,20,M7.9,6203,FALSE,,,5.03,,,,531000,,,,4.76,1990-08-13 15:05:00,,,0,P,Taken by 4,,,AR from LMSAL,1990-08-12 11:25:00,1990-08-14 00:05:00
gsep_078,psep_086,,1991-01-27 20:25:00,,,,,,,,,,,,1991-01-27 14:40:00,1991-01-27 14:42:00,2,-59,-14,X1.9,6471,FALSE,,,4.98,,,,638000,,,,6.81,1991-01-28 03:30:00,,,0,P,,,,AR from LMSAL,1991-01-27 08:25:00,1991-01-29 04:55:00
gsep_079,psep_087,,1991-01-31 05:00:00,,,,,,,,,,,,1991-01-31 01:57:00,1991-01-31 02:00:00,13,35,17,X1.0,6462,FALSE,,240,200.0,3.35,0.51,,5970000,176000.0,75500.0,,242.0,1991-01-31 16:20:00,,,1,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1991-01-30 17:00:00,1991-02-01 06:00:00
gsep_080,psep_088,,1991-02-08 08:50:00,,,,,,,,,,,,1991-02-08 06:29:00,1991-02-08 07:48:00,79,,,M4.7,,,,,8.17,,,,444000,,,,9.46,1991-02-08 11:05:00,,,0,P,,,,Flare location unavailable,1991-02-07 20:50:00,1991-02-09 01:50:00
gsep_081,psep_089,,1991-02-25 09:00:00,,,,,,,,,,,,1991-02-25 08:09:00,1991-02-25 08:22:00,13,80,-16,X1.2,6497,FALSE,,13,10.73,1.09,,,515000,129000.0,,,12.8,1991-02-25 13:05:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1991-02-24 21:00:00,1991-02-25 17:00:00
gsep_082,psep_090,,1991-03-12 16:50:00,,,,,,,,,,,,1991-03-12 12:28:00,1991-03-12 12:50:00,22,-59,-7,X1.7,6545,FALSE,,,8.3,1.18,,,1030000,190000.0,,,9.93,1991-03-13 11:20:00,,,0,P,,Brief data gap,,AR from LMSAL,1991-03-12 04:50:00,1991-03-14 18:50:00
gsep_083,psep_091,,1991-03-16 15:00:00,,,,,,,,,,,,1991-03-16 10:52:00,1991-03-16 10:54:00,2,-5,-14,M4.8,6545,FALSE,,,2.26,,,,179000,,,,1.9,1991-03-17 06:05:00,,,0,P,,Brief data gap,,AR from LMSAL,1991-03-16 03:00:00,1991-03-18 00:00:00
gsep_084,psep_092,,1991-03-23 06:30:00,,,,,,,,,,,,1991-03-22 22:43:00,1991-03-22 22:47:00,4,-28,-26,X9.4,6555,FALSE,,43000,32113.12,5051.46,492.45,58.54,584000000,81800000.0,7540000.0,930000.0,43500.0,1991-03-24 03:50:00,,,1,P,Taken by 6,Brief data gap,,AR from LMSAL,1991-03-22 18:30:00,1991-03-24 15:30:00
gsep_085,,,1991-03-29 21:20:00,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,20.4,1991-03-30 03:30:00,,,1,P,,,,Flare location unavailable; Data Gap,1991-03-29 09:20:00,1991-03-30 13:30:00
gsep_086,psep_093,,1991-03-31 21:25:00,,,,,,,,,,,,1991-03-31 19:11:00,1991-03-31 19:16:00,5,88,-22,X1.0,6555,FALSE,,,3.04,,,,344000,,,,25.5,1991-04-03 09:10:00,,,0,P,,Brief data gap,,AR from LMSAL,1991-03-31 09:25:00,1991-04-03 10:05:00
gsep_087,psep_094,,1991-04-03 10:00:00,,,,,,,,,,,,1991-04-02 22:51:00,1991-04-02 23:20:00,29,0,14,M6.1,6562,FALSE,,52,45.61,1.65,,,5090000,409000.0,,,52.4,1991-04-04 10:00:00,,,1,P,Taken by 5,Brief data gap,,AR & Flare location from Kurt et al. (2004),1991-04-02 22:00:00,1991-04-06 23:00:00
gsep_088,psep_095,,1991-04-17 03:50:00,,,,,,,,,,,,1991-04-16 18:50:00,1991-04-16 18:57:00,7,46,28,C3.3,6580,FALSE,,,1.3,,,,27100,,,,0.643,1991-04-17 10:20:00,,,0,P,,,,AR from LMSAL,1991-04-16 15:50:00,1991-04-18 07:50:00
gsep_089,psep_096,,1991-04-22 08:35:00,,,,,,,,,,,,1991-04-22 07:07:00,1991-04-22 07:08:00,1,90,-28,C5.9,6582,FALSE,,,3.93,,,,410000,,,,5.51,1991-04-23 11:00:00,,,0,P,,,,AR from LMSAL,1991-04-21 20:35:00,1991-04-23 14:35:00
gsep_090,psep_097,,1991-05-10 06:50:00,,,,,,,,,,,,1991-05-10 05:06:00,1991-05-10 05:16:00,10,,,C5.6,,,,,4.84,,,,409000,,,,5.16,1991-05-10 22:40:00,,,0,P,,,,Flare location unavailable,1991-05-09 18:50:00,1991-05-11 15:50:00
gsep_091,psep_098,,1991-05-13 02:10:00,,,,,,,,,,,,1991-05-13 01:35:00,1991-05-13 01:44:00,41,90,-7,M8.2,6615,FALSE,,350,274.11,34.19,8.78,3.36,8820000,972000.0,227000.0,85700.0,358.0,1991-05-13 09:05:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1991-05-12 14:10:00,1991-05-14 03:10:00
gsep_092,psep_099,,1991-05-18 11:10:00,,,,,,,,,,,,1991-05-18 05:06:00,1991-05-18 05:46:00,40,85,32,X2.8,6619,FALSE,,,6.38,1.18,,,286000,,,,7.8,1991-05-19 03:10:00,,,0,P,,,,AR from LMSAL,1991-05-17 23:10:00,1991-05-19 15:35:00
gsep_093,psep_100,,1991-05-19 15:35:00,,,,,,,,,,,,1991-05-19 13:44:00,1991-05-19 13:59:00,15,-17,-11,M1.2,6633,FALSE,,,6.7,,,,380000,,,,7.78,1991-05-20 06:40:00,,,0,P,,,,AR from LMSAL,1991-05-19 03:35:00,1991-05-20 20:00:00
gsep_094,psep_101,,1991-05-20 20:00:00,,,,,,,,,,,,,,,,, ,,,,,4.68,,,,582000,,,,4.69,1991-05-21 11:10:00,,,0,P,No flare reported this day ,,,,1991-05-20 08:00:00,1991-05-23 08:40:00
gsep_095,psep_102,,1991-05-23 08:55:00,,,,,,,,,,,,1991-05-23 04:19:00,1991-05-23 04:32:00,13,,,C5.1,,,,,5.79,,,,1130000,,,,5.43,1991-05-23 23:15:00,,,0,P,,,,Flare location unavailable,1991-05-22 20:55:00,1991-05-24 20:55:00
gsep_096,psep_103,,1991-05-31 05:20:00,,,,,,,,,,,,1991-05-31 02:32:00,1991-05-31 02:44:00,12,-21,7,,6654,FALSE,,22,20.68,1.12,,,1530000,108000.0,,,22.9,1991-06-01 05:00:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1991-05-30 17:20:00,1991-06-04 13:10:00
gsep_097,,,1991-06-02 15:30:00,,,,,,,,,,,,1991-06-02 13:50:00,1991-06-02 14:08:00,18,20,-8,M2.8,6652,FALSE,,,18,,,,,,,,21.4,1991-06-02 21:15:00,,,0,P,,,,AR & Flare location from Kurt et al. (2004),1991-06-02 03:30:00,1991-06-03 09:15:00
gsep_098,psep_104,,1991-06-04 13:15:00,,,,,,,,,,,,1991-06-04 03:37:00,, ,-70,30,X12,6659,FALSE,,,45.61,9.64,3.55,1.53,1720000,373000.0,137000.0,58700.0,94.4,1991-06-04 15:35:00,,,1,P,,,,Flare data from Kurt et al. (2004),1991-06-04 01:15:00,1991-06-05 13:10:00
gsep_099,psep_105,,1991-06-05 13:10:00,,,,,,,,,,,,1991-06-05 11:36:00,1991-06-05 11:48:00,12,,,C2.9,,,,,184.24,35.39,8.68,2.65,39200000,7750000.0,1980000.0,633000.0,224.0,1991-06-07 04:00:00,,,1,P,,,,Flare location unavailable,1991-06-05 01:10:00,1991-06-11 02:20:00
gsep_100,psep_106,,1991-06-11 02:30:00,,,,,,,,,,,,1991-06-11 02:09:00,1991-06-11 02:29:00,20,17,31,X12,6659,FALSE,,3000,2282.42,448.18,93.99,25.55,96900000,18400000.0,4250000.0,1240000.0,3010.0,1991-06-11 14:20:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1991-06-10 14:30:00,1991-06-13 20:30:00
gsep_101,psep_107,,1991-06-14 23:40:00,,,,,,,,,,,,1991-06-15 06:33:00,1991-06-15 08:20:00,107,70,36,X12,6659,FALSE,,1400,1029.4,187.98,73.25,39.49,66400000,12600000.0,3060000.0,1090000.0,1420.0,1991-06-15 19:55:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1991-06-14 11:40:00,1991-06-16 18:50:00
gsep_102,psep_108,,1991-06-29 21:00:00,,,,,,,,,,,,1991-06-29 15:39:00,1991-06-29 15:42:00,3,-90,28,M1.6,6703,FALSE,,,21.53,2.91,,,1390000,225000.0,,,25.9,1991-06-30 20:30:00,,,0,P,Taken by 4,,,AR & Flare data from LMSAL,1991-06-29 09:00:00,1991-07-01 07:00:00
gsep_103,psep_109,,1991-07-01 07:00:00,,,,,,,,,,,,1991-07-01 01:26:00,1991-07-01 02:34:00,68,-78,28,M5.8,6703,FALSE,,110,84.37,6.03,0.95,,11400000,902000.0,189000.0,,106.0,1991-07-02 10:10:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1991-06-30 19:00:00,1991-07-05 15:00:00
gsep_104,psep_110,,1991-07-07 04:20:00,,,,,,,,,,,,1991-07-07 01:20:00,1991-07-07 01:23:00,3,0,28,X1.9,6693,FALSE,,2300,2001.58,13.48,,,77600000,781000.0,,,2310.0,1991-07-08 16:50:00,,,1,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1991-07-06 16:20:00,1991-07-09 07:20:00
gsep_105,psep_111,,1991-07-10 19:10:00,,,,,,,,,,,,1991-07-10 11:59:00,1991-07-10 12:07:00,8,-32,-22,M3.6,6718,FALSE,,30,24.38,0.98,,,1500000,118000.0,,,30.2,1991-07-11 04:50:00,,,1,P,Taken by 5,,,AR & Flare location from Kurt et al. (2004),1991-07-10 07:10:00,1991-07-12 15:35:00
gsep_106,psep_112,,1991-08-25 08:30:00,,,,,,,,,,,,1991-08-25 00:26:00,1991-08-25 00:49:00,23,-77,24,X2.1,6805,FALSE,,240,193.86,5.09,0.63,,9120000,437000.0,173000.0,,236.0,1991-08-27 18:30:00,,,1,P,Taken by 5,,,AR & Flare location from Kurt et al. (2004),1991-08-24 20:30:00,1991-08-28 14:30:00
gsep_107,psep_113,,1991-09-06 09:40:00,,,,,,,,,,,,1991-09-05 21:21:00,1991-09-05 22:04:00,43,37,-19,M2.9,6811,FALSE,,,3.93,,,,283000,,,,3.77,1991-09-06 23:20:00,,,0,P,Taken by 4,,,AR from LMSAL,1991-09-05 21:40:00,1991-09-07 20:40:00
gsep_108,psep_114,,1991-09-29 23:40:00,,,,,,,,,,,,1991-09-29 15:13:00,1991-09-29 15:31:00,18,-32,-21,M7.3,6853,FALSE,,12,11.43,1.11,,,1270000,259000.0,,,12.4,1991-10-01 18:10:00,,,1,P,Taken by 5,Brief data gap,,AR from LMSAL,1991-09-29 11:40:00,1991-10-02 14:20:00
gsep_109,psep_115,,1991-10-28 05:30:00,,,,,,,,,,,,1991-10-27 05:38:00,1991-10-27 05:49:00,11,-15,-13,X6.1,6891,FALSE,,40,32.88,,,,423000,,,,39.8,1991-10-28 14:40:00,,,1,P,Taken by 5,,,AR from LMSAL,1991-10-27 17:30:00,1991-10-28 22:10:00
gsep_110,psep_116,,1991-10-30 06:55:00,,,,,,,,,,,,1991-10-30 06:11:00,1991-10-30 06:21:00,10,25,-8,X2.5,6891,FALSE,,94,71.84,11.03,4.27,2.02,1970000,520000.0,212000.0,,94.0,1991-10-30 08:10:00,,,1,P,,,,AR from LMSAL,1991-10-29 18:55:00,1991-11-01 00:00:00
gsep_111,psep_117,,1991-12-21 13:50:00,,,,,,,,,,,,1991-12-21 08:13:00,1991-12-21 08:13:00,0,74,-6,C5.2,6966,FALSE,,,2.03,,,,246000,,,,1.71,1991-12-22 11:15:00,,,0,P,Taken by 4,,,AR from LMSAL,1991-12-21 01:50:00,1991-12-22 22:50:00
gsep_112,psep_118,,1991-12-29 00:05:00,,,,,,,,,,,,1991-12-28 21:08:00,1991-12-28 21:12:00,4,47,-16,M7.8,6982,FALSE,,,2.73,,,,212000,,,,2.88,1991-12-29 07:40:00,,,0,P,Taken by 4,,,AR from LMSAL,1991-12-28 12:05:00,1991-12-29 16:55:00
gsep_113,psep_119,,1992-02-06 17:40:00,,,,,,,,,,,,1992-02-06 09:28:00,1992-02-06 10:28:00,60,10,-13,M4.4,7042,FALSE,,78,69.05,1.05,,,3770000,166000.0,,,77.8,1992-02-07 11:15:00,,,1,P,,,,AR from LMSAL,1992-02-06 05:40:00,1992-02-09 07:40:00
gsep_114,psep_120,,1992-02-17 10:05:00,,,,,,,,,,,,1992-02-17 09:53:00,1992-02-17 09:57:00,4,39,12,C3.6,7058,FALSE,,,4.25,,,,92700,,,,4.14,1992-02-17 12:50:00,,,0,P,,,,AR from LMSAL,1992-02-16 22:05:00,1992-02-17 18:05:00
gsep_115,psep_121,,1992-02-26 05:10:00,,,,,,,,,,,,1992-02-26 01:41:00,1992-02-26 01:43:00,2,90,-16,M1.3,7073,FALSE,,,2.66,,,,145000,,,,1.97,1992-02-26 17:50:00,,,0,P,,,,AR from LMSAL,1992-02-25 17:10:00,1992-02-26 21:10:00
gsep_116,psep_122,,1992-02-27 10:30:00,,,,,,,,,,,,1992-02-27 09:22:00,1992-02-27 12:56:00,214,2,6,X3.3,7070,FALSE,,,7.08,,,,282000,,,,7.31,1992-02-27 19:05:00,,,0,P,,,,AR from LMSAL,1992-02-26 22:30:00,1992-02-27 23:10:00
gsep_117,psep_123,,1992-03-16 04:35:00,,,,,,,,,,,,1992-03-15 01:21:00,1992-03-15 01:46:00,25,-29,-14,M7.8,7100,FALSE,,10,9.11,1.61,0.59,,666000,188000.0,96300.0,,10.4,1992-03-16 09:00:00,,,1,P,,Brief data gap,,AR from LMSAL,1992-03-15 16:35:00,1992-03-17 05:30:00
gsep_118,psep_124,,1992-04-21 01:30:00,,,,,,,,,,,,1992-04-21 00:48:00,1992-04-21 00:59:00,11,-28,-16,C7.1,7135,FALSE,,,2.57,,,,148000,,,,2.15,1992-04-21 02:55:00,,,0,P,,,,AR from LMSAL,1992-04-20 13:30:00,1992-04-21 09:30:00
gsep_119,psep_125,,1992-05-08 16:45:00,,,,,,,,,,,,1992-05-08 15:37:00,1992-05-08 15:40:00,3,-8,-26,M7.4,7154,FALSE,,4600,3849.09,47.46,2.07,0.41,44600000,991000.0,228000.0,120000.0,4650.0,1992-05-09 21:00:00,,,1,P,,,,AR from LMSAL,1992-05-08 04:45:00,1992-05-10 10:45:00
gsep_120,psep_126,,1992-05-21 20:00:00,,,,,,,,,,,,1992-05-21 18:05:00,1992-05-21 18:10:00,5,-17,22,C3.6,7172,FALSE,,,1.55,,,,57400,,,,0.82,1992-05-21 21:55:00,,,0,S,,,,AR from LMSAL; Data corrected for spike,1992-05-21 08:00:00,1992-05-22 17:00:00
gsep_121,psep_127,,1992-05-24 09:30:00,,,,,,,,,,,,1992-05-24 04:30:00,1992-05-24 05:33:00,63,,,C1.1,,,,,4.08,,,,143000,,,,4.91,1992-05-24 11:55:00,,,0,P,,,,Flare location unavailable,1992-05-23 21:30:00,1992-05-24 18:10:00
gsep_122,psep_128,,1992-06-25 20:15:00,,,,,,,,,,,,1992-06-25 17:49:00,1992-06-25 17:55:00,6,69,9,X3.9,7205,FALSE,,390,284.72,41.91,17.2,7.74,18000000,2650000.0,664000.0,271000.0,389.0,1992-06-26 06:15:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1992-06-25 08:15:00,1992-06-27 18:15:00
gsep_123,,,1992-06-28 09:00:00,,,,,,,,,,,,1992-06-28 05:14:00,1992-06-28 05:20:00,6,90,11,X1.8,7205,FALSE,,,20,,,,,,,,25.8,1992-06-29 02:45:00,,,0,P,,,,AR & Flare location from Kurt et al. (2004),1992-06-27 21:00:00,1992-06-29 14:45:00
gsep_124,psep_129,,1992-08-05 20:10:00,,,,,,,,,,,,1992-08-03 06:29:00,1992-08-03 07:02:00,33,-68,-9,M4.8,7248,FALSE,,14,13.12,1.2,,,825000,205000.0,,,14.2,1992-08-06 12:10:00,,,1,P,Taken by 5,,,AR from LMSAL,1992-08-05 08:10:00,1992-08-07 05:10:00
gsep_125,psep_130,,1992-10-30 18:25:00,,,,,,,,,,,,1992-10-30 17:02:00,1992-10-30 17:30:00,28,61,-22,X1.7,7321,FALSE,,2700,1962.07,363.46,42.12,6.72,157000000,20600000.0,2040000.0,292000.0,2680.0,1992-10-31 07:10:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1992-10-30 06:25:00,1992-11-01 12:05:00
gsep_126,psep_131,,1992-11-02 03:10:00,,,,,,,,,,,,1992-11-02 03:10:00,1992-11-02 03:14:00,4,90,-23,X9.0,7321,FALSE,,,904.72,301.43,137.96,65.74,56600000,14300000.0,4540000.0,1730000.0,1060.0,1992-11-02 09:10:00,,,0,P,Taken by 4,,,AR & Flare location from Kurt et al. (2004),1992-11-01 15:10:00,1992-11-03 12:50:00
gsep_127,psep_132,,1992-11-23 20:50:00,,,,,,,,,,,,1992-11-23 20:18:00,1992-11-23 20:29:00,11,89,-8,M4.4,7342,FALSE,,,2.73,,,,170000,,,,2.84,1992-11-23 22:15:00,,,0,P,,,,AR from LMSAL,1992-11-23 08:50:00,1992-11-24 05:50:00
gsep_128,psep_133,,1992-11-29 10:40:00,,,,,,,,,,,,1992-11-29 08:15:00,1992-11-29 08:58:00,43,,,C9.1,,,,,7.76,1.12,,,420000,167000.0,,,8.57,1992-11-29 15:20:00,,,0,P,,,,Flare location unavailable,1992-11-28 22:40:00,1992-11-30 03:00:00
gsep_129,psep_134,,1993-03-04 12:40:00,,,,,,,,,,,,1993-03-04 12:14:00,1993-03-04 12:22:00,8,55,-13,C8.1,7434,FALSE,,17,14.22,3.43,1.35,0.61,671000,199000.0,99200.0,55800.0,17.1,1993-03-04 16:15:00,,,1,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1993-03-04 00:40:00,1993-03-05 05:20:00
gsep_130,psep_135,,1993-03-06 21:15:00,,,,,,,,,,,,1993-03-06 20:14:00,1993-03-06 20:33:00,19,-29,-4,M7.7,7440,FALSE,,,9.73,1.61,,,770000,232000.0,,,10.8,1993-03-07 07:10:00,,,0,P,,Brief data gap,,AR from LMSAL,1993-03-06 09:15:00,1993-03-07 18:15:00
gsep_131,psep_136,,1993-03-12 18:30:00,,,,,,,,,,,,1993-03-12 17:03:00,1993-03-12 18:01:00,58,48,-3,M7.0,7440,FALSE,,44,35.13,7.67,2.87,1.32,1640000,357000.0,148000.0,75900.0,44.0,1993-03-13 01:55:00,,,1,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1993-03-12 06:30:00,1993-03-13 15:30:00
gsep_132,psep_137,,1993-06-07 15:15:00,,,,,,,,,,,,1993-06-07 13:54:00,1993-06-07 14:22:00,28,30,-10,M5.4,7518,FALSE,,,5.66,1.74,,,247000,93300.0,,,6.18,1993-06-07 18:35:00,,,0,P,,Brief data gap,,AR from LMSAL,1993-06-07 03:15:00,1993-06-08 02:00:00
gsep_133,psep_138,,1994-02-20 01:45:00,,,,,,,,,,,,1994-02-20 01:38:00,1994-02-20 01:41:00,3,2,9,M4.0,7671,FALSE,,10000,8447.91,16.54,1.02,0.45,65400000,452000.0,146000.0,85500.0,10200.0,1994-02-21 09:00:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004); Data corrected for spike,1994-02-19 13:45:00,1994-02-21 16:45:00
gsep_134,psep_139,,1994-10-19 21:45:00,,,,,,,,,,,,1994-10-19 22:35:00,1994-10-19 23:13:00,38,24,12,M3.2,7790,FALSE,,35,30.26,2.66,0.93,0.45,1150000,171000.0,86900.0,50600.0,34.9,1994-10-20 03:40:00,,,1,P,,Spike,,AR & Flare location from Kurt et al. (2004); Data corrected for spike,1994-10-19 09:45:00,1994-10-20 18:45:00
gsep_135,psep_140,,1995-10-20 06:35:00,,,,,,,,,,,,1995-10-20 05:54:00,1995-10-20 05:58:00,4,53,-11,M1.5,7912,FALSE,,63,46.97,4.76,1.19,,1870000,417000.0,208000.0,,62.7,1995-10-20 12:10:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004); Data corrected for spike,1995-10-19 18:35:00,1995-10-21 07:35:00
gsep_136,psep_141,cdaw_sep_001,1997-11-04 06:05:00,1997-11-04 06:40:00,1997-11-04 11:20:00,72,lasco_509,1997-11-04 05:11:32,1997-11-04 06:10:00,360,360,785,785,gid_soho_158,1997-11-04 05:52:00,1997-11-04 05:58:00,6,33,-14,X2.1,8100,FALSE,,72,54.49,16.38,4.88,1.51,2630000,717000,261000,113000,67.1,1997-11-04 13:00:00,2019-11-04 05:58:00,2019-11-04 06:00:00,1,P,,,Fe-rich; ;p-rich; ,,1997-11-03 18:40:00,1997-11-05 02:55:00
gsep_137,psep_142,cdaw_sep_002,1997-11-06 12:20:00,1997-11-06 12:30:00,1997-11-07 02:55:00,495,lasco_521,1997-11-06 11:30:00,1997-11-06 12:10:00,360,360,1556,1556,gid_soho_181,1997-11-06 11:49:00,1997-11-06 11:55:00,6,63,-18,X9.4,8100,TRUE,,495,437.32,159.11,62.19,25.58,33200000,9940000,3230000,1130000,532.0,1997-11-07 03:00:00,2019-11-06 11:53:00,2019-11-06 12:10:00,1,P,,,Fe-rich; ;p-rich; ,,1997-11-06 00:30:00,1997-11-08 06:00:00
gsep_138,psep_143,cdaw_sep_003,1998-04-20 11:00:00,1998-04-20 11:15:00,1998-04-21 12:10:00,1700,lasco_878,1998-04-20 09:49:35,1998-04-20 10:07:00,243,150,1863,1863,gid_soho_547,1998-04-20 09:38:00,1998-04-20 10:21:00,43,119,-17,M1.4,8202,TRUE,,1700,1212.01,229.26,23.91,2.58,97400000,16900000,1830000,337000,1610.0,1998-04-21 11:45:00,2019-04-20 09:56:00,2019-04-20 10:25:00,1,P,,,Fe-poor; ;p-rich; no shock passage,,1998-04-19 23:15:00,1998-04-23 05:40:00
gsep_139,psep_144,,1998-04-29 17:30:00,,,,lasco_901,1998-04-29 16:22:07,1998-04-29 16:58:54,360,360,1374,1374,gid_soho_557,1998-04-29 16:06:00,1998-04-29 16:37:00,31,-20,-18,M6.8,8210,FALSE,,,3.58,,,,570000,,,,2.51,1998-04-30 17:20:00,,,0,P,,,Fe-poor; ; ; slow rise-peak at the shock,,1998-04-29 05:30:00,1998-05-01 11:10:00
