sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,m_type2_onset_time,dh_type2_onset_time,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end
gsep_016,psep_027,,1988-07-26 21:40:00,,,,,,,,,,,,1988-07-25 19:28:00,1988-07-25 20:07:00,39,-50,-27,M1.5,5084,FALSE,,,2.12,,,,194000,,,,1.13,1988-07-27 11:15:00,,,0,P,,,,AR from LMSAL; Secondary GOES Fail,1988-07-26 09:40:00,1988-07-27 18:40:00
gsep_017,psep_028,,1988-08-25 13:55:00,,,,,,,,,,,,1988-08-23 17:57:00,1988-08-23 18:00:00,3,-90,24,M2.4,,,,42,13.54,,,,1610000,,,,4.28,1988-08-26 00:50:00,,,1,S,,,,,1988-08-25 01:55:00,1988-08-26 02:55:00
gsep_018,psep_029,,1988-10-12 03:40:00,,,,,,,,,,,,1988-10-12 04:57:00,1988-10-12 05:02:00,5,66,-20,X2.5,5175,FALSE,,12,6.41,1.77,0.75,0.39,199000,70100.0,34900.0,19500.0,6.97,1988-10-12 10:45:00,,,1,P,,Brief data gap,,AR from LMSAL,1988-10-11 15:40:00,1988-10-12 20:40:00
gsep_019,psep_030,,1988-11-08 13:50:00,,,,,,,,,,,,1988-11-08 12:28:00,1988-11-08 12:48:00,20,7,16,C3.0,5218,FALSE,,13,6.7,2.38,1.13,0.57,698000,256000.0,129000.0,70800.0,7.23,1988-11-09 06:35:00,,,1,P,,,,AR from LMSAL,1988-11-08 01:50:00,1988-11-09 23:50:00
gsep_020,,,1988-11-14 01:30:00,,,,,,,,,,,,1988-11-13 22:52:00,1988-11-13 23:09:00,17,27,-23,M3.2,5227,FALSE,,13,,,,,,,,,6.9,1988-11-14 02:35:00,,,1,P,,,,,1988-11-13 13:30:00,1988-11-14 04:00:00
gsep_021,psep_031,,1988-12-14 12:10:00,,,,,,,,,,,,1988-12-14 10:44:00,1988-12-14 10:46:00,2,-30,-16,C7.2,5273,FALSE,,,3.68,1.86,1.07,0.64,385000,198000.0,120000.0,71400.0,5.85,1988-12-15 02:40:00,,,0,P,,,,AR from LMSAL,1988-12-14 00:10:00,1988-12-15 21:10:00
gsep_022,psep_032,,1988-12-16 09:40:00,,,,,,,,,,,,1988-12-16 08:38:00,1988-12-16 08:41:00,3,-37,26,X4.7,5278,FALSE,,29,12.39,2.44,1.44,0.86,1510000,474000.0,258000.0,147000.0,51.4,1988-12-16 14:10:00,,,1,P,,,,Data corrected for spike,1988-12-15 21:40:00,1988-12-19 00:30:00
gsep_023,psep_033,,1989-01-04 21:15:00,,,,,,,,,,,,1989-01-04 16:03:00,1989-01-04 17:53:00,110,60,-20,M4.7,5303,FALSE,,28,10.43,,,,367000,,,,10.6,1989-01-05 01:30:00,,,1,P,,Brief data gap,,AR from LMSAL,1989-01-04 09:15:00,1989-01-05 09:15:00
gsep_024,psep_034,,1989-03-08 04:00:00,,,,,,,,,,,,1989-03-06 13:54:00,1989-03-06 14:15:00,21,-69,35,X5,5395,FALSE,,,111.85,3.89,,,8230000,462000.0,,,138.0,1989-03-09 23:55:00,,,0,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-03-07 16:00:00,1989-03-10 22:00:00
gsep_025,psep_035,,1989-03-12 19:25:00,,,,,,,,,,,,1989-03-10 18:48:00,1989-03-10 18:50:00,2,-22,31,X4.5,5395,FALSE,,3500,3641.16,58.29,1.92,0.47,27900000,1100000.0,243000.0,112000.0,1860.0,1989-03-13 07:45:00,,,1,S,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-03-12 07:25:00,1989-03-13 16:15:00
gsep_026,psep_036,,1989-03-17 18:20:00,,,,,,,,,,,,1989-03-17 17:29:00,1989-03-17 17:37:00,8,60,33,X6.5,5395,FALSE,,2000,896.12,46.16,2.11,,39800000,1480000.0,165000.0,,1250.0,1989-03-18 09:20:00,,,1,P,Taken by 4,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-03-17 06:20:00,1989-03-19 12:20:00
gsep_027,psep_037,,1989-03-23 20:30:00,,,,,,,,,,,,1989-03-23 19:25:00,1989-03-23 19:37:00,12,28,18,X1.5,5409,FALSE,,53,23.27,4.71,1.09,0.4,725000,109000.0,40800.0,21000.0,29.7,1989-03-23 22:20:00,,,1,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-03-23 08:30:00,1989-03-24 08:30:00
gsep_028,psep_038,,1989-04-10 21:00:00,,,,,,,,,,,,1989-04-09 00:44:00,1989-04-09 00:59:00,15,-29,35,X3.5,5441,FALSE,,450,177.27,5.0,,,13900000,612000.0,,,218.0,1989-04-12 00:05:00,,,1,P,,,,AR from LMSAL,1989-04-10 09:00:00,1989-04-15 01:00:00
